id,common_name,observed_on,place_guess,location,quality_grade,annotation_summary,ofvs,tags,url
246683158,Atlantic Blue Crab,2024-10-09 16:28:03-04:00,"Middletown Township, NJ, USA","[40.4044911, -73.9795876997]",research,,[],[],https://www.inaturalist.org/observations/246683158
246681944,Atlantic Blue Crab,2024-10-10 14:50:57-04:00,"Old Bridge Waterfront Park, South Amboy, NJ, US","[40.4593616667, -74.2469033333]",research,,[],[],https://www.inaturalist.org/observations/246681944
246680977,Atlantic Blue Crab,2024-10-10 13:05:39-04:00,"Raritan Bay, Keansburg, NJ, US","[40.4501783333, -74.1662833333]",research,,[],[],https://www.inaturalist.org/observations/246680977
246678195,Atlantic Blue Crab,2024-10-09 09:25:17-04:00,"Galloway, NJ 08205, USA","[39.4633613, -74.4487972997]",research,,[],[],https://www.inaturalist.org/observations/246678195
246563444,Atlantic Blue Crab,2024-10-09 15:56:54-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.4050366667, -73.9803783333]",research,,[],[],https://www.inaturalist.org/observations/246563444
246563339,Atlantic Blue Crab,2024-10-09 16:12:24-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.4059133333, -73.9808283333]",research,,[],[],https://www.inaturalist.org/observations/246563339
246563050,Atlantic Blue Crab,2024-10-09 16:23:07-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.40437, -73.9791866667]",research,,[],[],https://www.inaturalist.org/observations/246563050
246496578,Atlantic Blue Crab,2024-10-09 12:55:35-04:00,"Donaldson Park, Highland Park, NJ, US","[40.4894745551, -74.4219934745]",research,,[],[],https://www.inaturalist.org/observations/246496578
246404642,Atlantic Blue Crab,2024-10-08 10:28:51-04:00,"Brigantine, Brigantine, NJ, US","[39.4168783333, -74.3517]",research,,[],[],https://www.inaturalist.org/observations/246404642
246403260,Atlantic Blue Crab,2024-10-05 12:19:24-04:00,"Osborn Island, Little Egg Harbor Township, NJ 08087, USA","[39.5397473, -74.3876436]",research,,[],[],https://www.inaturalist.org/observations/246403260
246280197,Atlantic Blue Crab,2024-10-06 23:00:01-04:00,United States,"[40.0966075276, -74.1381190761]",research,,[],[],https://www.inaturalist.org/observations/246280197
246073062,Atlantic Blue Crab,2024-10-06 15:36:40-04:00,"Lighthouse Rd, Heislerville, NJ, US","[39.1967883333, -75.0277471667]",research,,[],[],https://www.inaturalist.org/observations/246073062
246072897,Atlantic Blue Crab,2024-10-06 15:35:16-04:00,"Lighthouse Rd, Heislerville, NJ, US","[39.196955, -75.0276638333]",research,,[],[],https://www.inaturalist.org/observations/246072897
246042333,Atlantic Blue Crab,2024-10-06 15:04:40-04:00,"Lighthouse Rd, Heislerville, NJ, US","[39.1965116667, -75.0280528333]",research,,[],[],https://www.inaturalist.org/observations/246042333
245477978,Atlantic Blue Crab,2024-10-03 15:37:27-04:00,"S New York Rd, Galloway, NJ, US","[39.4348, -74.4746083333]",research,,[],[],https://www.inaturalist.org/observations/245477978
245128586,Atlantic Blue Crab,2024-10-01 16:17:58-04:00,"Sedge Islands, Bay Head, NJ, US","[40.0579282992, -74.0444827373]",research,,[],[],https://www.inaturalist.org/observations/245128586
244994760,Atlantic Blue Crab,2024-09-30 16:55:15-04:00,"Wildwood, NJ 08260, USA","[39.0042693997, -74.8588819]",research,,[],[],https://www.inaturalist.org/observations/244994760
244480858,Atlantic Blue Crab,2024-09-28 09:10:57-04:00,Villas,"[39.0289001465, -74.942276001]",research,,[],[],https://www.inaturalist.org/observations/244480858
244060657,Atlantic Blue Crab,2024-09-22 11:03:36-04:00,"Little Egg Harbor Township, NJ 08087, USA","[39.5389152997, -74.3255153]",research,,[],[],https://www.inaturalist.org/observations/244060657
243439825,Atlantic Blue Crab,2024-09-22 10:53:01-04:00,"Donaldson Park, Highland Park, NJ, US","[40.4899833333, -74.4225383333]",research,,[],[],https://www.inaturalist.org/observations/243439825
243139131,Atlantic Blue Crab,2024-09-21 10:41:49-04:00,"Liberty State Park, Jersey City, NJ, US","[40.6946716667, -74.0655971667]",research,,[],[],https://www.inaturalist.org/observations/243139131
242706819,Atlantic Blue Crab,2024-09-14 16:59:00-04:00,"Middle Township, NJ, USA","[39.0593993884, -74.7733415044]",research,,[],[],https://www.inaturalist.org/observations/242706819
242706815,Atlantic Blue Crab,2024-09-14 16:50:00-04:00,"Middle Township, NJ, USA","[39.060158562, -74.7726347794]",research,,[],[],https://www.inaturalist.org/observations/242706815
242402163,Atlantic Blue Crab,2024-09-16 11:19:00-04:00,"Lower Township, NJ, USA","[38.9613979249, -74.8732595481]",research,,[],[],https://www.inaturalist.org/observations/242402163
241977607,Atlantic Blue Crab,2024-09-01 14:17:00-04:00,"AtlantiCare HealthPlex, Atlantic City, NJ, US","[39.36292, -74.4286216667]",research,,[],[],https://www.inaturalist.org/observations/241977607
241511616,Atlantic Blue Crab,2024-09-13 15:00:44-04:00,Mantoloking,"[40.0038146973, -74.0646057129]",research,,[],[],https://www.inaturalist.org/observations/241511616
241112818,Atlantic Blue Crab,2024-09-09 15:38:36-04:00,"Barnegat Township, NJ, USA","[39.7619319, -74.1994058]",research,,[],[],https://www.inaturalist.org/observations/241112818
241042712,Atlantic Blue Crab,2024-08-22 11:18:00-04:00,"The Wetlands Institute, Stone Harbor, NJ, USA","[39.0590066874, -74.7739844721]",research,,[],[],https://www.inaturalist.org/observations/241042712
240758734,Atlantic Blue Crab,2024-09-09 10:36:15-04:00,"Izmer St, Elizabeth, NJ, US","[40.6621873794, -74.1582754266]",research,,[],[],https://www.inaturalist.org/observations/240758734
240635943,Atlantic Blue Crab,2023-04-22 10:14:14-04:00,"Little Egg Harbor Twp, NJ, US","[39.52467, -74.32782]",research,,[],[],https://www.inaturalist.org/observations/240635943
240526962,Atlantic Blue Crab,2024-09-06 16:07:39-04:00,"Barnegat Bay, Manahawkin, NJ, US","[39.8059283333, -74.1704116667]",research,,[],[],https://www.inaturalist.org/observations/240526962
240437161,Atlantic Blue Crab,2024-09-07 19:19:36-04:00,"Little Egg Harbor Township, NJ 08087, USA","[39.5085305556, -74.3223666667]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/240437161
240392145,Atlantic Blue Crab,2024-08-23 13:22:00-04:00,"Middle Township, NJ, USA","[39.0589035838, -74.7733298063]",research,,"[{'id': 29168287, 'uuid': '1e5b0a8e-92f7-4545-8f93-4eb52025ed6e', 'field_id': 3134, 'datatype': 'taxon', 'name': 'Interaction->Preyed on', 'name_ci': 'Interaction->Preyed on', 'value': '121639', 'value_ci': '121639', 'user_id': 521996, 'taxon_id': '121639', 'taxon': {'id': 121639, 'rank': 'infraorder', 'rank_level': 35, 'iconic_taxon_id': 1, 'ancestor_ids': [48460, 1, 47120, 85493, 473790, 47187, 774775, 144113, 47186, 118451, 121639], 'is_active': True, 'min_species_taxon_id': 121639, 'name': 'Brachyura', 'parent_id': 118451, 'ancestry': '48460/1/47120/85493/473790/47187/774775/144113/47186/118451', 'min_species_ancestry': '48460,1,47120,85493,473790,47187,774775,144113,47186,118451,121639', 'extinct': False, 'created_at': '2011-12-13T04:38:50+00:00', 'default_photo': {'id': 66333024, 'license_code': 'cc-by-nc-nd', 'attribution': '(c) Nature Ali, some rights reserved (CC BY-NC-ND), uploaded by Nature Ali', 'url': 'https://inaturalist-open-data.s3.amazonaws.com/photos/66333024/square.jpg', 'original_dimensions': {'height': 1000, 'width': 1785}, 'flags': [], 'square_url': 'https://inaturalist-open-data.s3.amazonaws.com/photos/66333024/square.jpg', 'medium_url': 'https://inaturalist-open-data.s3.amazonaws.com/photos/66333024/medium.jpg'}, 'taxon_changes_count': 3, 'taxon_schemes_count': 2, 'observations_count': 560250, 'photos_locked': False, 'universal_search_rank': 560250, 'flag_counts': {'resolved': 1, 'unresolved': 0}, 'current_synonymous_taxon_ids': None, 'atlas_id': None, 'complete_species_count': None, 'wikipedia_url': 'http://en.wikipedia.org/wiki/Crab', 'iconic_taxon_name': 'Animalia', 'preferred_common_name': 'True Crabs'}, 'user': {'id': 521996, 'login': 'brennafarrell', 'spam': False, 'suspended': False, 'created_at': '2017-07-01T19:41:23+00:00', 'login_autocomplete': 'brennafarrell', 'login_exact': 'brennafarrell', 'name': 'Brenna Farrell', 'name_autocomplete': 'Brenna Farrell', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/521996/d5181030127a5e5ac98840e4bc3926b1-thumb.png?1740943768', 'observations_count': 44590, 'identifications_count': 451880, 'journal_posts_count': 0, 'activity_count': 496470, 'species_count': 2670, 'annotated_observations_count': 176073, 'universal_search_rank': 44590, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/521996/d5181030127a5e5ac98840e4bc3926b1-medium.png?1740943768'}}, {'id': 29269945, 'uuid': '81b56bc9-76c6-46c3-90ba-171f5b24fe65', 'field_id': 12795, 'datatype': 'text', 'name': 'ID meant for ""eater"" or organism being eaten?', 'name_ci': 'ID meant for ""eater"" or organism being eaten?', 'value': 'eater', 'value_ci': 'eater', 'user_id': 7800030, 'user': {'id': 7800030, 'login': 'hmung013', 'spam': False, 'suspended': False, 'created_at': '2024-02-15T19:36:48+00:00', 'login_autocomplete': 'hmung013', 'login_exact': 'hmung013', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/7800030/532f10d57ad2eb61989988753a1763e9-thumb.jpg?1744830390', 'observations_count': 2502, 'identifications_count': 2269, 'journal_posts_count': 0, 'activity_count': 4771, 'species_count': 345, 'annotated_observations_count': 1251, 'universal_search_rank': 2502, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/7800030/532f10d57ad2eb61989988753a1763e9-medium.jpg?1744830390'}}, {'id': 29269946, 'uuid': '77c0d1ee-7dcc-4926-8817-43586bb194c2', 'field_id': 16376, 'datatype': 'text', 'name': 'Is observation one of these special types of feeding?', 'name_ci': 'Is observation one of these special types of feeding?', 'value': 'No, none of these', 'value_ci': 'No, none of these', 'user_id': 7800030, 'user': {'id': 7800030, 'login': 'hmung013', 'spam': False, 'suspended': False, 'created_at': '2024-02-15T19:36:48+00:00', 'login_autocomplete': 'hmung013', 'login_exact': 'hmung013', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/7800030/532f10d57ad2eb61989988753a1763e9-thumb.jpg?1744830390', 'observations_count': 2502, 'identifications_count': 2269, 'journal_posts_count': 0, 'activity_count': 4771, 'species_count': 345, 'annotated_observations_count': 1251, 'universal_search_rank': 2502, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/7800030/532f10d57ad2eb61989988753a1763e9-medium.jpg?1744830390'}}]",[],https://www.inaturalist.org/observations/240392145
240387351,Atlantic Blue Crab,2024-08-23 13:12:00-04:00,"Middle Township, NJ, USA","[39.059473127, -74.7733106325]",research,,[],[],https://www.inaturalist.org/observations/240387351
240309170,Atlantic Blue Crab,2024-09-07 07:53:27-04:00,"Delaware Bay, Cape May Court House, NJ, US","[39.0261221667, -74.9443583333]",research,,[],[],https://www.inaturalist.org/observations/240309170
239900425,Atlantic Blue Crab,2024-08-13 09:16:00-04:00,"Monitor Dr, Toms River, NJ, US","[39.9932014207, -74.1450953145]",research,,[],[],https://www.inaturalist.org/observations/239900425
239857188,Atlantic Blue Crab,2024-09-03 18:48:53-04:00,"North Atlantic Ocean, NJ, US","[39.9223937352, -74.0690492341]",research,,[],[],https://www.inaturalist.org/observations/239857188
239856326,Atlantic Blue Crab,2024-09-03 19:09:02-04:00,"Sedge Islands, Seaside Park, NJ, US","[39.925376, -74.078339]",research,,[],[],https://www.inaturalist.org/observations/239856326
239850368,Atlantic Blue Crab,2024-09-04 15:56:19-04:00,"Cattus Island County Park, Toms River, NJ, US","[39.9843385928, -74.1276290391]",research,,[],[],https://www.inaturalist.org/observations/239850368
239715622,Atlantic Blue Crab,2024-06-30 12:58:24-04:00,"Patcong Creek, Somers Point, NJ, US","[39.3352118874, -74.6087033971]",research,,[],[],https://www.inaturalist.org/observations/239715622
239713239,Atlantic Blue Crab,2024-09-02 14:04:30-04:00,"Millville, NJ 08332, USA","[39.354863, -75.0319527997]",research,,[],[],https://www.inaturalist.org/observations/239713239
239712574,Atlantic Blue Crab,2024-09-02 14:01:13-04:00,"Millville, NJ 08332, USA","[39.3549925, -75.0319994]",research,,[],[],https://www.inaturalist.org/observations/239712574
239711715,Atlantic Blue Crab,2024-08-31 19:31:52-04:00,"Downe, NJ 08321, USA","[39.2229439997, -75.1659273]",research,,[],[],https://www.inaturalist.org/observations/239711715
239687270,Atlantic Blue Crab,2024-08-31 14:22:29-04:00,"Barnegat Bay, Manahawkin, NJ, US","[39.932555, -74.1135]",research,,[],[],https://www.inaturalist.org/observations/239687270
239685213,Atlantic Blue Crab,2024-09-03 17:15:27-04:00,"Cattus Island County Park, Toms River, NJ, US","[39.9845469237, -74.1275200826]",research,,[],[],https://www.inaturalist.org/observations/239685213
239684620,Atlantic Blue Crab,2024-09-03 17:11:43-04:00,"Cattus Island County Park, Toms River, NJ, US","[39.9844449107, -74.1275554151]",research,,[],[],https://www.inaturalist.org/observations/239684620
239606718,Atlantic Blue Crab,2024-09-03 07:47:02-04:00,"Swimming River Park, Red Bank, NJ, US","[40.3485301951, -74.0826601074]",research,,[],[],https://www.inaturalist.org/observations/239606718
239493228,Atlantic Blue Crab,2024-09-02 16:50:40-04:00,"New Brunswick, NJ, USA","[40.508378, -74.4671139722]",research,,[],[],https://www.inaturalist.org/observations/239493228
239478140,Atlantic Blue Crab,2024-09-02 16:49:23-04:00,"Pine Beach, Manahawkin, NJ, US","[39.9385480397, -74.1647042614]",research,,[],[],https://www.inaturalist.org/observations/239478140
239455871,Atlantic Blue Crab,2024-08-31 09:10:19-04:00,"Brigantine, Brigantine, NJ, US","[39.4217616687, -74.3469916667]",research,,[],[],https://www.inaturalist.org/observations/239455871
239444400,Atlantic Blue Crab,2024-09-02 12:14:53-04:00,"North Atlantic Ocean, NJ, US","[38.97092, -74.8247916667]",research,Sex: Female,[],[],https://www.inaturalist.org/observations/239444400
239244761,Atlantic Blue Crab,2024-08-19 12:44:00-04:00,"Middle Township, NJ, USA","[39.0601383641, -74.7734898381]",research,,[],[],https://www.inaturalist.org/observations/239244761
239235487,Atlantic Blue Crab,2024-09-01 14:33:48-04:00,"Sedge Islands, Lavallette, NJ, US","[39.9987116667, -74.0655833333]",research,,[],[],https://www.inaturalist.org/observations/239235487
239015914,Atlantic Blue Crab,2024-08-31 14:22:29-04:00,"Barnegat Bay, Manahawkin, NJ, US","[39.9325370836, -74.1135060043]",research,,[],[],https://www.inaturalist.org/observations/239015914
238624191,Atlantic Blue Crab,2024-08-28 14:07:44-04:00,"Stone Harbor Blvd, Stone Harbor, NJ, US","[39.0598138333, -74.7730716667]",research,,[],[],https://www.inaturalist.org/observations/238624191
238499268,Atlantic Blue Crab,2024-08-28 18:41:47-04:00,"Barnegat Bay, Seaside Park, NJ, US","[39.9351025529, -74.0807073468]",research,,[],[],https://www.inaturalist.org/observations/238499268
238429113,Atlantic Blue Crab,2024-08-28 11:13:48-04:00,"Stone Harbor Blvd, Stone Harbor, NJ, US","[39.0604055, -74.7731783333]",research,,[],[],https://www.inaturalist.org/observations/238429113
238070390,Atlantic Blue Crab,2024-07-07 20:17:00-04:00,"Cumberland County, NJ, USA","[39.2242583333, -75.1671638889]",research,,[],[],https://www.inaturalist.org/observations/238070390
238070389,Atlantic Blue Crab,2024-07-07 20:17:00-04:00,"Cumberland County, NJ, USA","[39.2242583333, -75.1671638889]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/238070389
237900679,Atlantic Blue Crab,2024-07-06 12:40:00-04:00,"Brigantine, NJ 08203, USA","[39.4250333333, -74.3444277778]",research,,[],[],https://www.inaturalist.org/observations/237900679
237228082,Atlantic Blue Crab,2024-08-21 12:17:17-04:00,"Stone Harbor, NJ 08247, USA","[39.05946, -74.7733479722]",research,,[],[],https://www.inaturalist.org/observations/237228082
237146075,Atlantic Blue Crab,2024-08-21 11:47:38-04:00,"Cape May County, NJ, USA","[39.0501399722, -74.755863]",research,,[],[],https://www.inaturalist.org/observations/237146075
237142544,Atlantic Blue Crab,2024-08-21 13:09:53-04:00,"Wildwood Crest Beach, NJ, US","[38.9703116258, -74.8270249412]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/237142544
236999681,Atlantic Blue Crab,2024-08-20 17:11:27-04:00,"North Atlantic Ocean, NJ, US","[38.9664916667, -74.83152]",research,,[],[],https://www.inaturalist.org/observations/236999681
236999592,Atlantic Blue Crab,2024-08-20 16:47:51-04:00,"North Atlantic Ocean, NJ, US","[38.9588893196, -74.8422286968]",research,,[],[],https://www.inaturalist.org/observations/236999592
236999452,Atlantic Blue Crab,2024-08-20 16:37:13-04:00,"North Atlantic Ocean, NJ, US","[38.9615666667, -74.8381883333]",research,,[],[],https://www.inaturalist.org/observations/236999452
236957161,Atlantic Blue Crab,2024-08-20 13:17:01-04:00,"North Atlantic Ocean, NJ, US","[38.9535892247, -74.8488206436]",research,,[],[],https://www.inaturalist.org/observations/236957161
236788542,Atlantic Blue Crab,2024-08-19 16:22:09-04:00,"Shark River, Belmar, NJ, US","[40.18152, -74.0298833333]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/236788542
236788334,Atlantic Blue Crab,2024-08-19 16:26:45-04:00,"NJ-35 S, Belmar, NJ, US","[40.18137, -74.029625]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/236788334
236425824,Atlantic Blue Crab,2024-08-17 15:26:20-04:00,"Stone Harbor Blvd, Stone Harbor, NJ, US","[39.0594138333, -74.77323]",research,,[],[],https://www.inaturalist.org/observations/236425824
236175769,Atlantic Blue Crab,2024-08-16 16:55:47-04:00,"Toms River, Bayville, NJ, US","[39.9333583333, -74.1533278333]",research,Alive or Dead: Dead,"[{'id': 28835187, 'uuid': 'fd222d93-951b-4105-b293-cec27e3cf5fd', 'field_id': 92, 'datatype': 'text', 'name': 'Dead or alive', 'name_ci': 'Dead or alive', 'value': 'dead', 'value_ci': 'dead', 'updater_id': 7522622, 'user_id': 7522622, 'user': {'id': 7522622, 'login': 'micahwesley', 'spam': False, 'suspended': False, 'created_at': '2023-10-15T12:41:39+00:00', 'login_autocomplete': 'micahwesley', 'login_exact': 'micahwesley', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': None, 'observations_count': 556, 'identifications_count': 2, 'journal_posts_count': 0, 'activity_count': 558, 'species_count': 376, 'annotated_observations_count': 6, 'universal_search_rank': 556, 'roles': [], 'site_id': 1, 'icon_url': None}}]",[],https://www.inaturalist.org/observations/236175769
236094348,Atlantic Blue Crab,2024-08-10 18:03:19-04:00,"New Jersey, US","[39.4651330177, -74.5174189959]",research,,[],[],https://www.inaturalist.org/observations/236094348
235892788,Atlantic Blue Crab,2024-08-15 06:21:56-04:00,"Ocean Grove, NJ, US","[40.2115033333, -74.0020527833]",research,,[],[],https://www.inaturalist.org/observations/235892788
235855067,Atlantic Blue Crab,2024-07-16 18:33:45-04:00,"Barnegat Bay, Ocean Gate, NJ, US","[39.9304456527, -74.1370622158]",research,,[],[],https://www.inaturalist.org/observations/235855067
235794356,Atlantic Blue Crab,2024-08-14 10:26:00-04:00,"Greenwich, NJ, USA","[39.38988, -75.3574316667]",research,,[],[],https://www.inaturalist.org/observations/235794356
235784908,Atlantic Blue Crab,2024-08-14 12:50:11-04:00,"Ocean Grove, NJ, US","[40.210545, -74.00239445]",research,,[],[],https://www.inaturalist.org/observations/235784908
